Date,diff
2017-10,5772
2017-10,-8245
2017-10,-2242
2017-10,5200
2017-10,2751
2017-10,5753
2017-10,2078
2017-10,-137
2017-10,-6302
2017-10,-3724
2017-10,7125
2017-10,-21196
2017-10,23207
2017-10,-7282
2017-10,5263
2017-10,-7920
2017-10,-51808
2017-10,39709
2017-10,10996
2017-11,530
2017-11,10038
2017-11,1007
2017-11,-18384
2017-11,-18490
2017-11,22663
2017-11,-21245
2017-11,17850
2017-11,4205
2017-11,-19984
2017-11,-10290
2017-11,4329
2017-11,6281
2017-11,13526
2017-11,1952
2017-11,-4493
2017-11,-748
2017-11,-21244
2017-11,3852
2017-11,13523
2017-11,7328
2017-11,-20151
2017-11,-18592
2017-11,10018
2017-11,6787
2017-11,-3330
2017-11,19552
2017-11,4434
2017-11,4124
2017-11,-3591
2017-12,-991
2017-12,-11786
2017-12,-5194
2017-12,15902
2017-12,-7838
2017-12,4543
2017-12,-968
2017-12,-4037
2017-12,-30526
2017-12,9011
2017-12,22023
2017-12,782
2017-12,-9997
2017-12,-5129
2017-12,-4550
2017-12,-3884
2017-12,3343
2017-12,17765
2017-12,9335
2017-12,-8042
2017-12,-3869
2017-12,-3254
2017-12,-24730
2017-12,3607
2017-12,-6736
2017-12,7634
